sched,load_mbps,seed,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,tput_mbps,avg_co0_ap,avg_co1_ap
1,20.0000,1,60000,0.1044,0.0870,0.1340,0.1360,0.5250,0.6240,20.0000,0.1508,0.1590
1,30.0000,1,90226,0.1136,0.0900,0.1500,0.2700,0.4556,0.6440,30.0753,0.2278,0.2356
1,270.0000,1,827572,0.4297,0.4163,0.5698,0.8323,1.0774,1.6469,275.8573,0.7177,0.7150
1,250.0000,1,749986,0.3944,0.3813,0.5327,0.7756,0.9850,1.4730,249.9953,0.6956,0.6932
1,120.0000,1,363634,0.2798,0.2694,0.4144,0.5946,0.7343,1.0890,121.2113,0.5747,0.5773
1,220.0000,1,666657,0.3624,0.3499,0.4994,0.7256,0.9186,1.4960,222.2190,0.6714,0.6696
1,70.0000,1,210525,0.2265,0.2140,0.3560,0.5056,0.6444,0.9596,70.1750,0.4626,0.4694
1,130.0000,1,393438,0.2866,0.2761,0.4220,0.6070,0.7550,1.1180,131.1460,0.5865,0.5882
1,170.0000,1,510633,0.3141,0.3030,0.4494,0.6477,0.8196,1.1776,170.2110,0.6245,0.6242
1,190.0000,1,571420,0.3312,0.3198,0.4664,0.6760,0.8456,1.2486,190.4733,0.6429,0.6417
1,180.0000,1,545449,0.3235,0.3120,0.4586,0.6656,0.8406,1.1836,181.8163,0.6351,0.6345
1,280.0000,1,857132,0.4446,0.4306,0.5859,0.8593,1.1107,1.7501,285.7107,0.7264,0.7236
1,240.0000,1,727261,0.3851,0.3725,0.5230,0.7606,0.9660,1.4443,242.4203,0.6891,0.6869
1,40.0000,1,120000,0.1543,0.1330,0.2650,0.3886,0.5340,0.8626,40.0000,0.3005,0.3087
1,50.0000,1,149999,0.1841,0.1580,0.3064,0.4340,0.5640,0.9346,49.9997,0.3637,0.3722
1,160.0000,1,479995,0.3067,0.2955,0.4420,0.6380,0.8021,1.2287,159.9983,0.6147,0.6150
1,100.0000,1,299997,0.2638,0.2534,0.3974,0.5650,0.7056,1.0416,99.9990,0.5436,0.5479
1,260.0000,1,799984,0.4166,0.4032,0.5560,0.8093,1.0405,1.5716,266.6613,0.7097,0.7073
1,230.0000,1,705873,0.3768,0.3642,0.5144,0.7476,0.9526,1.4011,235.2910,0.6825,0.6806
