time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00472,0.00277,1.00000
1.25000,0.67377,0.49558,1.00000
1.50000,0.75927,0.66015,1.00000
1.75000,0.76853,0.65461,1.00000
2.00000,0.75917,0.65598,1.00000
2.25000,0.76122,0.66183,1.00000
2.50000,0.76408,0.65625,1.00000
2.75000,0.76144,0.65396,1.00000
3.00000,0.76469,0.65759,1.00000
3.25000,0.75844,0.65629,1.00000
3.50000,0.75731,0.65551,1.00000
3.75000,0.77084,0.65509,1.00000
4.00000,0.76937,0.65629,1.00000
4.25000,0.76260,0.65582,1.00000
4.50000,0.76183,0.65573,1.00000
4.75000,0.76225,0.65606,1.00000
5.00000,0.76718,0.65386,1.00000
5.25000,0.76709,0.65349,1.00000
5.50000,0.75740,0.65865,1.00000
5.75000,0.75379,0.65977,1.00000
6.00000,0.76757,0.65419,1.00000
6.25000,0.76348,0.65570,1.00000
6.50000,0.75720,0.65627,1.00000
6.75000,0.75576,0.65737,1.00000
7.00000,0.76306,0.65493,1.00000
7.25000,0.76339,0.65534,1.00000
7.50000,0.75669,0.66008,1.00000
7.75000,0.75899,0.65858,1.00000
8.00000,0.76069,0.65551,1.00000
8.25000,0.76764,0.65232,1.00000
8.50000,0.76125,0.65520,1.00000
8.75000,0.76735,0.65755,1.00000
9.00000,0.76069,0.65711,1.00000
9.25000,0.76610,0.65400,1.00000
9.50000,0.75642,0.65454,1.00000
9.75000,0.76210,0.65214,1.00000
10.00000,0.76317,0.66074,1.00000
10.25000,0.75853,0.65753,1.00000
10.50000,0.75634,0.65935,1.00000
10.75000,0.76586,0.65771,1.00000
11.00000,0.76113,0.65343,1.00000
11.25000,0.75911,0.65678,1.00000
11.50000,0.75513,0.66119,1.00000
11.75000,0.76201,0.65770,1.00000
12.00000,0.76138,0.65996,1.00000
12.25000,0.76491,0.65692,1.00000
12.50000,0.75953,0.65624,1.00000
12.75000,0.76403,0.65431,1.00000
13.00000,0.75337,0.65795,1.00000
13.25000,0.76532,0.65658,1.00000
13.50000,0.76503,0.65807,1.00000
13.75000,0.76315,0.65873,1.00000
14.00000,0.76798,0.65355,1.00000
14.25000,0.76208,0.65404,1.00000
14.50000,0.76472,0.65440,1.00000
14.75000,0.75839,0.65795,1.00000
15.00000,0.76008,0.65984,1.00000
15.25000,0.75790,0.65979,1.00000
15.50000,0.76631,0.65513,1.00000
15.75000,0.76741,0.65349,1.00000
16.00000,0.76711,0.65465,1.00000
16.25000,0.77176,0.65056,1.00000
16.50000,0.75674,0.65759,1.00000
16.75000,0.76491,0.65530,1.00000
17.00000,0.75852,0.65883,1.00000
17.25000,0.75574,0.65900,1.00000
17.50000,0.76014,0.65689,1.00000
17.75000,0.76451,0.65593,1.00000
18.00000,0.75893,0.65717,1.00000
18.25000,0.76305,0.65593,1.00000
18.50000,0.76664,0.65521,1.00000
18.75000,0.76450,0.65414,1.00000
19.00000,0.75712,0.65844,1.00000
19.25000,0.76027,0.65627,1.00000
19.50000,0.76498,0.65540,1.00000
19.75000,0.75759,0.65540,1.00000
20.00000,0.76359,0.65526,1.00000
20.25000,0.76113,0.65840,1.00000
20.50000,0.76575,0.65491,1.00000
20.75000,0.76246,0.65334,1.00000
21.00000,0.76023,0.66082,1.00000
21.25000,0.75807,0.65851,1.00000
21.50000,0.76219,0.65458,1.00000
21.75000,0.76690,0.65748,1.00000
22.00000,0.76217,0.65253,1.00000
22.25000,0.76397,0.65228,1.00000
22.50000,0.76186,0.65735,1.00000
22.75000,0.76492,0.65497,1.00000
23.00000,0.76300,0.65535,1.00000
23.25000,0.77120,0.65307,1.00000
23.50000,0.76718,0.65555,1.00000
23.75000,0.76500,0.65420,1.00000
24.00000,0.76831,0.65314,1.00000
24.25000,0.75748,0.65508,1.00000
24.50000,0.76507,0.65664,1.00000
24.75000,0.76072,0.65736,1.00000
