time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,9979,0.7280,0.6320,1.1920,1.5810,2.2160,319.3280
1.5000,10004,0.6903,0.5900,1.1440,1.5290,1.9420,320.1280
1.7500,10001,0.6811,0.5860,1.1070,1.5210,1.9290,320.0320
2.0000,9981,0.7082,0.6150,1.1560,1.5160,1.9300,319.3920
2.2500,10006,0.7472,0.6563,1.2170,1.5760,2.0590,320.1920
2.5000,10004,0.7368,0.6487,1.2030,1.5470,1.7930,320.1280
2.7500,10005,0.7060,0.6047,1.1608,1.5960,2.2750,320.1600
3.0000,9988,0.6907,0.5911,1.1450,1.5040,1.9220,319.6160
3.2500,10002,0.7291,0.6340,1.1956,1.5913,2.0630,320.0640
3.5000,9995,0.7265,0.6220,1.2050,1.6177,2.2780,319.8400
3.7500,10006,0.7251,0.6285,1.1890,1.5455,1.9970,320.1920
4.0000,9997,0.7455,0.6590,1.2069,1.6200,2.0700,319.9040
4.2500,10010,0.7284,0.6370,1.1990,1.5120,1.7130,320.3200
4.5000,10002,0.7290,0.6380,1.1940,1.5710,1.9230,320.0640
4.7500,10004,0.7204,0.6240,1.1759,1.5619,2.4220,320.1280
5.0000,10001,0.7358,0.6416,1.2192,1.5730,1.9230,320.0320
5.2500,10002,0.7466,0.6550,1.2230,1.5860,1.9340,320.0640
5.5000,9978,0.7045,0.6120,1.1554,1.5410,1.8600,319.2960
5.7500,10004,0.7184,0.6265,1.1688,1.5830,2.2080,320.1280
6.0000,10012,0.7140,0.6240,1.1640,1.4861,1.7790,320.3840
6.2500,9975,0.7327,0.6379,1.2020,1.5640,1.8560,319.2000
6.5000,10019,0.7137,0.6190,1.1700,1.5330,1.8500,320.6080
6.7500,10003,0.7415,0.6530,1.2190,1.5800,1.9340,320.0960
7.0000,10000,0.7485,0.6633,1.2092,1.5610,1.9330,320.0000
7.2500,9994,0.7428,0.6441,1.2213,1.6270,2.2170,319.8080
7.5000,10005,0.7521,0.6590,1.2326,1.6360,2.1290,320.1600
7.7500,9990,0.7269,0.6290,1.1970,1.5440,1.9950,319.6800
8.0000,10011,0.7051,0.6180,1.1420,1.4730,1.7080,320.3520
8.2500,9978,0.6977,0.5925,1.1550,1.6085,2.1380,319.2960
8.5000,10022,0.7202,0.6299,1.1650,1.5970,2.4990,320.7040
8.7500,9974,0.7392,0.6465,1.2020,1.6450,2.2900,319.1680
9.0000,10012,0.7157,0.6230,1.1752,1.4970,1.7890,320.3840
9.2500,10020,0.7194,0.6280,1.1670,1.5175,1.8430,320.6400
9.5000,9992,0.6910,0.5869,1.1440,1.5580,1.9850,319.7440
9.7500,10007,0.7297,0.6400,1.1969,1.5349,1.7850,320.2240
10.0000,9995,0.6878,0.6002,1.1114,1.4720,1.8430,319.8400
10.2500,10006,0.7167,0.6280,1.1700,1.5549,1.9220,320.1920
10.5000,9995,0.7076,0.6160,1.1466,1.5240,1.9360,319.8400
