time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00487,0.00287,1.00000
1.25000,0.74246,0.74294,1.00000
1.50000,0.92569,0.80723,1.00000
1.75000,0.92031,0.80726,1.00000
2.00000,0.92017,0.80750,1.00000
2.25000,0.91808,0.80751,1.00000
2.50000,0.92670,0.80686,1.00000
2.75000,0.93181,0.80348,1.00000
3.00000,0.92086,0.80436,1.00000
3.25000,0.92660,0.80459,1.00000
3.50000,0.92419,0.80445,1.00000
3.75000,0.92215,0.80792,1.00000
4.00000,0.92044,0.80715,1.00000
4.25000,0.91186,0.80897,1.00000
4.50000,0.92537,0.80625,1.00000
4.75000,0.92270,0.80604,1.00000
5.00000,0.91783,0.80891,1.00000
5.25000,0.92280,0.80806,1.00000
5.50000,0.92130,0.80706,1.00000
5.75000,0.92015,0.80750,1.00000
6.00000,0.92601,0.80577,1.00000
6.25000,0.92664,0.80705,1.00000
6.50000,0.92134,0.80624,1.00000
6.75000,0.92042,0.80648,1.00000
7.00000,0.92517,0.80605,1.00000
7.25000,0.92146,0.80825,1.00000
7.50000,0.92584,0.80729,1.00000
7.75000,0.92732,0.80249,1.00000
8.00000,0.92237,0.80657,1.00000
8.25000,0.92034,0.80751,1.00000
8.50000,0.92611,0.80811,1.00000
8.75000,0.92373,0.80728,1.00000
9.00000,0.92586,0.80754,1.00000
9.25000,0.92475,0.80724,1.00000
9.50000,0.92022,0.80869,1.00000
9.75000,0.92240,0.80905,1.00000
10.00000,0.91858,0.80859,1.00000
10.25000,0.92316,0.80710,1.00000
10.50000,0.91869,0.80853,1.00000
10.75000,0.92176,0.80604,1.00000
11.00000,0.92765,0.80559,1.00000
11.25000,0.92702,0.80701,1.00000
11.50000,0.92251,0.80915,1.00000
11.75000,0.91977,0.80852,1.00000
12.00000,0.91872,0.80792,1.00000
12.25000,0.92215,0.81030,1.00000
12.50000,0.92155,0.80331,1.00000
12.75000,0.92039,0.80681,1.00000
13.00000,0.92879,0.80378,1.00000
13.25000,0.92539,0.80651,1.00000
13.50000,0.91819,0.81068,1.00000
13.75000,0.92788,0.80576,1.00000
14.00000,0.91472,0.80757,1.00000
14.25000,0.93193,0.80472,1.00000
14.50000,0.92468,0.80580,1.00000
14.75000,0.91613,0.80728,1.00000
15.00000,0.91918,0.80715,1.00000
15.25000,0.91339,0.81109,1.00000
15.50000,0.91626,0.80603,1.00000
15.75000,0.92187,0.80774,1.00000
16.00000,0.92632,0.80717,1.00000
16.25000,0.91792,0.80851,1.00000
16.50000,0.91788,0.80678,1.00000
16.75000,0.92397,0.80903,1.00000
17.00000,0.91635,0.81071,1.00000
17.25000,0.92707,0.80547,1.00000
17.50000,0.92349,0.80571,1.00000
17.75000,0.92627,0.80948,1.00000
18.00000,0.92116,0.80621,1.00000
18.25000,0.92041,0.80680,1.00000
18.50000,0.91894,0.80765,1.00000
18.75000,0.92393,0.80594,1.00000
19.00000,0.92482,0.80444,1.00000
19.25000,0.92705,0.80742,1.00000
19.50000,0.91975,0.80985,1.00000
19.75000,0.90911,0.80821,1.00000
20.00000,0.91586,0.80903,1.00000
20.25000,0.92961,0.80526,1.00000
20.50000,0.91986,0.80683,1.00000
20.75000,0.92419,0.80707,1.00000
21.00000,0.92748,0.80575,1.00000
21.25000,0.91857,0.80736,1.00000
21.50000,0.92086,0.80693,1.00000
21.75000,0.92355,0.80762,1.00000
22.00000,0.92104,0.80453,1.00000
22.25000,0.92485,0.80393,1.00000
22.50000,0.92667,0.80561,1.00000
22.75000,0.92055,0.80379,1.00000
23.00000,0.92041,0.80848,1.00000
23.25000,0.91683,0.81041,1.00000
23.50000,0.92639,0.80525,1.00000
23.75000,0.92503,0.80805,1.00000
24.00000,0.91561,0.80584,1.00000
24.25000,0.91816,0.80918,1.00000
24.50000,0.92784,0.80472,1.00000
24.75000,0.92124,0.80897,1.00000
