time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,5563,5.8388,0.3728,18.5432,23.1519,23.8089,205.2480
1.5000,5689,12.3219,0.3734,31.4308,33.5525,33.8239,210.6240
1.7500,5747,13.3821,0.3665,32.7089,33.5672,33.9891,213.8560
2.0000,5890,11.9093,0.3635,31.8872,32.9453,33.2213,219.2000
2.2500,5839,9.6552,0.3625,25.0203,26.2110,26.4869,217.4720
2.5000,5814,9.5169,0.3638,23.5027,24.5882,24.9069,215.9360
2.7500,5906,6.8784,0.3578,19.9081,23.1514,23.4549,220.4160
3.0000,5903,3.3676,0.3618,9.0864,12.2943,12.5290,219.9040
3.2500,5824,1.7822,0.3555,4.8176,5.4209,5.9080,216.6400
3.5000,5810,1.4668,0.3624,3.9066,4.3623,4.6393,215.9680
3.7500,5795,1.1541,0.3584,2.8830,3.7826,4.1643,215.3280
4.0000,5823,1.5847,0.3594,4.1078,4.8996,5.2567,216.4480
4.2500,5809,1.5356,0.3604,3.8013,4.7839,5.0137,215.8720
4.5000,5812,1.7295,0.3591,4.2445,4.6480,4.8596,216.0640
4.7500,5821,1.9396,0.3644,5.4186,6.9884,7.2176,216.4480
5.0000,5819,1.5655,0.3608,3.9546,4.4200,4.8430,216.2560
5.2500,5816,1.1467,0.3578,2.7724,3.3305,3.7218,216.2880
5.5000,5807,1.7752,0.3648,4.3273,5.2550,5.6473,215.6800
5.7500,5828,1.5558,0.3554,3.9583,4.6529,4.9776,216.7360
6.0000,5810,1.3822,0.3588,3.6760,4.5463,5.3613,216.0960
6.2500,5824,1.4766,0.3611,3.8552,4.6377,5.0397,216.5120
6.5000,5788,1.4739,0.3591,4.1151,4.9181,5.4004,215.0080
6.7500,5805,1.7835,0.3584,4.8905,5.5492,5.8697,215.7760
7.0000,5843,1.4103,0.3594,3.6686,4.7696,5.1066,217.2800
7.2500,5805,1.2589,0.3571,3.1861,3.7550,4.0096,215.7120
7.5000,5814,1.4017,0.3561,3.5692,4.2642,4.6142,216.1920
7.7500,5792,1.8833,0.3644,4.6348,5.1895,5.7309,215.2320
8.0000,5843,1.6985,0.3654,4.3250,5.0731,5.6141,217.3440
8.2500,5808,1.4015,0.3568,3.5705,4.4239,5.0092,215.7440
8.5000,5820,1.2332,0.3604,3.1150,3.7213,4.3313,216.4160
8.7500,5811,1.3192,0.3588,3.3238,3.9754,4.2395,216.1600
9.0000,5818,1.1971,0.3574,3.0303,3.5933,3.8209,216.1920
9.2500,5789,1.4172,0.3578,3.7022,4.8276,5.4009,215.1040
9.5000,5811,1.6920,0.3634,4.9910,5.8006,6.1486,216.0320
9.7500,5832,1.4628,0.3571,4.0375,5.4769,5.7316,216.8000
10.0000,5817,1.5540,0.3564,3.9340,4.3739,4.7567,216.2880
10.2500,5795,1.4963,0.3554,3.7199,4.8103,5.4289,215.2320
10.5000,5833,1.5418,0.3574,4.1683,5.1263,5.4928,216.9920
10.7500,5814,1.2801,0.3584,3.2998,4.0815,4.5650,216.1920
11.0000,5813,1.3622,0.3544,3.3412,3.9976,4.6091,216.0000
11.2500,5796,1.5505,0.3624,3.8146,5.3762,5.9161,215.2960
11.5000,5829,1.6723,0.3644,4.5325,5.1720,5.5023,216.8000
11.7500,5804,2.3693,0.3664,6.3381,7.5220,7.7151,215.4880
12.0000,5833,1.4482,0.3544,4.0209,5.0760,6.4730,217.2480
12.2500,5802,1.2519,0.3575,3.0838,3.9204,4.2835,215.5840
12.5000,5822,1.5668,0.3574,4.1214,4.7222,4.9915,216.4480
12.7500,5798,1.7473,0.3614,4.6357,5.5358,5.9177,215.3920
13.0000,5820,1.5213,0.3624,3.9359,4.7579,5.0203,216.4800
13.2500,5821,1.6334,0.3634,3.9997,4.5487,5.0586,216.3520
13.5000,5804,1.2663,0.3601,3.1012,3.5295,3.9283,215.7440
13.7500,5828,1.4285,0.3554,3.7067,4.6146,4.9572,216.6720
14.0000,5809,1.5206,0.3618,3.8807,4.5389,5.0126,215.9360
14.2500,5814,1.5767,0.3588,3.9950,4.4472,4.8885,216.0960
14.5000,5809,1.5126,0.3618,3.7660,4.8805,5.1352,216.0000
14.7500,5830,1.4420,0.3598,3.6270,4.3472,4.5724,216.7680
15.0000,5802,1.5838,0.3631,4.0921,5.0488,5.7730,215.4880
15.2500,5820,1.5097,0.3611,3.7716,4.4759,4.7829,216.4800
15.5000,5814,1.7090,0.3601,5.1959,6.0727,6.6242,216.0960
15.7500,5817,1.2897,0.3598,3.1813,3.7636,4.0742,216.2240
16.0000,5802,1.2910,0.3608,3.1252,4.4227,4.9811,215.5520
16.2500,5827,1.3012,0.3614,3.3174,4.2580,4.8391,216.7040
16.5000,5805,1.3873,0.3568,3.3847,4.1318,4.5444,215.8080
16.7500,5806,1.5372,0.3554,3.8887,4.3697,4.6262,215.8400
17.0000,5820,1.4482,0.3658,3.7430,4.4099,4.8658,216.3200
17.2500,5792,1.9930,0.3624,5.5375,6.6694,7.2926,215.1680
17.5000,5831,1.6381,0.3594,4.5231,5.9605,6.3560,216.8320
17.7500,5817,1.3352,0.3644,3.4736,4.0407,4.3125,216.2560
18.0000,5826,1.2992,0.3579,3.5508,3.9877,4.6471,216.6720
18.2500,5809,1.5454,0.3594,3.8492,4.4032,4.6815,215.9040
18.5000,5816,1.5180,0.3628,3.9106,4.6735,5.0916,216.2560
18.7500,5799,1.4506,0.3598,3.6648,4.3602,4.9607,215.5200
19.0000,5835,1.8433,0.3614,4.9871,5.7447,5.9729,216.9600
19.2500,5812,1.1856,0.3550,3.0267,3.4226,3.6407,216.0320
