sched,load_mbps,seed,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,tput_mbps,avg_co0_ap,avg_co1_ap
1,450.0000,2,1411691,1.2849,1.1795,1.5668,2.2713,21.3010,27.2701,470.5637,0.8827,0.8794
1,450.0000,3,1410384,1.3535,1.1739,1.5317,2.3717,29.8287,32.1149,470.1280,0.8832,0.8799
1,450.0000,1,1409904,1.3815,1.1766,1.5614,2.4703,30.9222,32.2586,469.9680,0.8830,0.8797
0,450.0000,3,1411546,2.2287,1.9950,3.7380,4.5160,4.7480,5.1670,470.5153,0.9483,0.8643
1,390.0000,3,1199960,0.7272,0.7009,0.8890,1.3739,3.3403,5.8136,399.9867,0.8213,0.8180
1,310.0000,1,959983,0.5054,0.4899,0.6504,0.9666,1.2929,2.2346,319.9943,0.7550,0.7521
0,450.0000,2,1411628,2.2512,2.0250,3.7626,4.5176,4.7420,5.1840,470.5427,0.9496,0.8629
1,310.0000,2,959977,0.5041,0.4896,0.6498,0.9430,1.2126,1.7653,319.9923,0.7542,0.7512
0,390.0000,2,1199957,1.2001,1.0320,2.0296,2.7090,3.1510,4.1960,399.9857,0.9118,0.7967
1,390.0000,1,1199963,0.7286,0.7011,0.8920,1.3897,3.4829,4.7343,399.9877,0.8214,0.8180
1,390.0000,2,1199967,0.7241,0.7020,0.8910,1.3343,2.4959,3.9211,399.9890,0.8203,0.8170
1,80.0000,1,239998,0.2422,0.2320,0.3740,0.5280,0.6646,0.9986,79.9993,0.4965,0.5027
0,310.0000,1,959976,0.7178,0.6214,1.1800,1.5620,1.8340,2.6490,319.9920,0.8653,0.7279
0,390.0000,3,1199884,1.2000,1.0290,2.0350,2.7150,3.1390,4.1990,399.9613,0.9106,0.7980
0,450.0000,1,1411690,2.2494,2.0250,3.7549,4.5150,4.7476,5.0770,470.5633,0.9487,0.8646
0,310.0000,3,959979,0.7183,0.6230,1.1804,1.5609,1.8290,2.5750,319.9930,0.8661,0.7280
0,390.0000,1,1199964,1.2063,1.0390,2.0410,2.7164,3.1547,4.1350,399.9880,0.9108,0.7980
0,310.0000,2,959974,0.7185,0.6238,1.1790,1.5510,1.8080,2.4990,319.9913,0.8670,0.7267
1,310.0000,3,959978,0.5049,0.4895,0.6499,0.9640,1.3150,2.0833,319.9927,0.7555,0.7522
1,80.0000,3,239997,0.2416,0.2310,0.3730,0.5266,0.6580,1.0096,79.9990,0.4967,0.5028
1,80.0000,2,239999,0.2418,0.2310,0.3734,0.5290,0.6596,1.0216,79.9997,0.4960,0.5022
0,80.0000,3,239998,0.1863,0.1780,0.2654,0.3264,0.3773,0.4936,79.9993,0.5720,0.5015
0,80.0000,1,239998,0.1860,0.1774,0.2650,0.3256,0.3746,0.4906,79.9993,0.5713,0.5022
0,80.0000,2,239999,0.1861,0.1774,0.2654,0.3254,0.3716,0.4776,79.9997,0.5724,0.5010
0,600.0000,2,1484932,8.2853,8.3523,9.6590,10.2580,10.5010,10.8440,494.9773,0.9608,0.8859
0,700.0000,1,1484139,8.3864,8.5019,9.7530,10.3530,10.5830,10.9550,494.7130,0.9600,0.8870
1,600.0000,1,1432483,7.3436,8.6295,9.0391,9.4863,31.7571,33.6719,477.4943,0.8888,0.8856
0,700.0000,2,1484360,8.3806,8.4940,9.7470,10.3450,10.5860,10.9520,494.7867,0.9608,0.8855
0,600.0000,3,1484494,8.2877,8.3540,9.6610,10.2590,10.4890,10.8260,494.8313,0.9603,0.8870
0,700.0000,3,1484590,8.3805,8.4950,9.7455,10.3420,10.5700,10.9590,494.8633,0.9604,0.8871
1,600.0000,2,1436246,7.3210,8.6175,9.0195,9.3438,29.4365,33.6379,478.7487,0.8892,0.8858
1,600.0000,3,1434045,7.3323,8.6275,9.0279,9.4403,31.0031,33.2132,478.0150,0.8893,0.8861
0,600.0000,1,1484910,8.2835,8.3500,9.6570,10.2540,10.4920,10.8700,494.9700,0.9599,0.8877
1,700.0000,2,1436490,7.3941,8.7091,9.1198,9.4636,29.4699,32.9413,478.8300,0.8891,0.8858
1,700.0000,1,1433383,7.4102,8.7187,9.1258,9.6455,31.4282,33.4799,477.7943,0.8890,0.8859
1,700.0000,3,1434333,7.4048,8.7188,9.1200,9.5557,31.2602,33.7038,478.1110,0.8894,0.8862
0,80.0000,4,189999,0.1862,0.1774,0.2654,0.3274,0.3766,0.4756,79.9996,0.5712,0.5003
0,80.0000,5,189999,0.1861,0.1774,0.2654,0.3260,0.3763,0.4926,79.9996,0.5699,0.4991
